Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
08/11/2015, Packers,71,19,331,48,25,7,87,1,1,21,14,3,3,2,1668,29, Panthers,130,36,297,30,15,6,45,0,1,20,15,5,0,0,1932,37
08/11/2015, Broncos,35,14,274,36,21,8,56,0,2,16,12,6,0,0,1281,24, Colts,120,40,245,36,21,4,30,0,0,27,20,12,0,0,2319,27
08/11/2015, Jaguars,98,19,338,40,24,4,30,2,2,19,16,7,0,0,1756,23, Jets,29,28,261,34,21,6,41,0,0,14,15,5,1,1,1844,28
08/11/2015, Falcons,17,14,285,45,30,6,63,0,0,17,15,5,0,0,1928,16, 49ers,133,38,185,26,15,5,30,0,2,18,14,6,2,2,1672,17
08/11/2015, Rams,160,36,160,33,18,12,87,0,0,18,16,2,1,1,1947,18, Vikings,145,35,148,27,15,6,67,0,1,21,13,3,0,0,1993,21
08/11/2015, Redskins,37,15,213,40,22,4,27,1,1,16,14,7,1,0,1375,10, Patriots,161,37,299,39,26,6,43,1,1,27,16,9,1,1,2225,27
08/11/2015, Giants,114,33,213,40,26,6,49,0,2,24,16,9,1,0,2095,32, Buccaneers,136,23,249,36,19,9,79,3,0,19,13,6,0,0,1505,18
09/11/2015, Eagles,172,35,287,36,25,10,70,0,0,25,13,3,2,2,1542,33, Cowboys,134,29,277,38,25,8,58,0,1,25,16,8,2,2,2299,27
10/11/2015, Bears,109,29,337,40,27,6,55,1,1,25,15,9,0,0,2015,22, Chargers,77,19,262,42,26,8,54,1,0,19,13,7,1,0,1585,19
13/11/2015, Bills,148,33,132,27,17,5,44,0,0,13,16,5,1,0,1996,22, Jets,128,24,190,34,15,3,20,2,2,15,13,3,3,1,1604,17
15/11/2015, Panthers,119,34,184,26,21,5,45,0,0,24,13,7,0,0,2155,27, Titans,64,21,178,24,16,4,30,1,1,11,12,5,0,0,1445,10
